游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,000701.SZ,厦门信达,"10,974,696.00","10,896,159.00","78,537.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002336.SZ,人乐退,"67,500.00",,"67,500.00",净买入,国金证券股份有限公司上海奉贤区金碧路证券营业部
,833171.BJ,国航远洋,"17,605,205.32","17,613,200.22","-7,994.90",净卖出,东方财富证券股份有限公司拉萨东环路第一证券营业部
,,,,,,,
【一瞬流光】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002366.SZ,融发核电,"55,819,103.00","54,188.00","55,764,915.00",净买入,中泰证券股份有限公司湖北分公司
,002878.SZ,元隆雅图,"664,792.00","50,460,641.00","-49,795,849.00",净卖出,中泰证券股份有限公司湖北分公司
,,,,,,,
【上塘路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002678.SZ,珠江钢琴,"28,288,409.00",,"28,288,409.00",净买入,联储证券股份有限公司浙江分公司
,,,,,,,
【上海溧阳路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,688573.SH,信宇人,,"14,323,782.38","-14,323,782.38",净卖出,中信证券股份有限公司上海溧阳路证券营业部
,,,,,,,
【低位挖掘】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002104.SZ,恒宝股份,"2,304,385.00","30,805,771.00","-28,501,386.00",净卖出,东莞证券股份有限公司四川分公司
,870199.BJ,倍益康,"1,512,852.17","3,986,956.90","-2,474,104.73",净卖出,东莞证券股份有限公司四川分公司
,,,,,,,
【北京帮】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300773.SZ,拉卡拉,"3,217,600.00","93,550,578.00","-90,332,978.00",净卖出,招商证券股份有限公司北京车公庄西路证券营业部
,,,,,,,
【叶庆均】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,839680.BJ,*ST广道,"189,734.82",,"189,734.82",净买入,中国银河证券股份有限公司宁波大闸南路证券营业部
,,,,,,,
【大小说家】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,870199.BJ,倍益康,"6,300,200.67","142,180.00","6,158,020.67",净买入,中信建投证券股份有限公司福州东街证券营业部
,,,,,,,
【天童南路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002678.SZ,珠江钢琴,"23,780,744.00","82,070.00","23,698,674.00",净买入,国盛证券有限责任公司宁波天童南路证券营业部
,,,,,,,
【宁波和源路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,605099.SH,共创草坪,,"8,210,871.00","-8,210,871.00",净卖出,甬兴证券有限公司宁波和源路证券营业部
,,,,,,,
【宁波桑田路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300457.SZ,赢合科技,"27,195,529.00","464,492.00","26,731,037.00",净买入,国盛证券有限责任公司宁波桑田路证券营业部
,002828.SZ,贝肯能源,"1,144,480.00","25,189,265.00","-24,044,785.00",净卖出,国盛证券有限责任公司宁波桑田路证券营业部
,600227.SH,赤天化,"8,805,750.00",,"8,805,750.00",净买入,国盛证券有限责任公司宁波桑田路证券营业部
,,,,,,,
【山东帮】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,836221.BJ,易实精密,"790,592.30","4,298,598.62","-3,508,006.32",净卖出,东海证券股份有限公司厦门嘉禾路证券营业部
,,,,,,,
【广东帮】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,605099.SH,共创草坪,,"15,155,326.00","-15,155,326.00",净卖出,财通证券股份有限公司温岭中华路证券营业部
,600387.SH,退市海越,,"962,800.00","-962,800.00",净卖出,财通证券股份有限公司温岭中华路证券营业部
,,,,,,,
【成都系】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002366.SZ,融发核电,"70,257,816.00","4,604,281.00","65,653,535.00",净买入,国泰海通证券股份有限公司成都北一环路证券营业部
,601975.SH,招商南油,"46,582,091.00",,"46,582,091.00",净买入,国泰海通证券股份有限公司成都北一环路证券营业部
,000525.SZ,红太阳,"40,989,192.00","5,418.00","40,983,774.00",净买入,国泰海通证券股份有限公司成都北一环路证券营业部
,002181.SZ,粤 传 媒,"368,863.00","35,909,562.00","-35,540,699.00",净卖出,国泰海通证券股份有限公司成都北一环路证券营业部
,,,,,,,
【敢死队】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
