id,created,updated,hm_name,trade_date,hm_orgs,ts_code,ts_name,buy_amount,sell_amount,net_amount,tag
150632,2025-06-18 10:23:02.543174,2025-06-18 10:23:02.543184,益田路,20250617,华鑫证券有限责任公司深圳益田路证券营业部,603716.SH,塞力医疗,15383718.0,0.0,15383718.0,
150633,2025-06-18 10:23:02.543263,2025-06-18 10:23:02.543273,炒股养家,20250617,华鑫证券有限责任公司上海宛平南路证券营业部,605198.SH,安德利,0.0,7573002.0,-7573002.0,
150634,2025-06-18 10:23:02.543381,2025-06-18 10:23:02.543399,炒股养家,20250617,浙商证券股份有限公司绍兴解放北路证券营业部,002336.SZ,人乐退,157140.0,0.0,157140.0,
150635,2025-06-18 10:23:02.543489,2025-06-18 10:23:02.543500,炒新一族,20250617,华泰证券股份有限公司上海武定路证券营业部,002336.SZ,人乐退,88740.0,0.0,88740.0,
150636,2025-06-18 10:23:02.543586,2025-06-18 10:23:02.543596,温州帮,20250617,中信证券股份有限公司温岭万昌中路证券营业部,600405.SH,动力源,0.0,3984607.0,-3984607.0,
150637,2025-06-18 10:23:02.543676,2025-06-18 10:23:02.543686,温州帮,20250617,中国银河证券股份有限公司杭州建国北路证券营业部,603222.SH,济民健康,0.0,4542864.0,-4542864.0,
150638,2025-06-18 10:23:02.543770,2025-06-18 10:23:02.543781,温州帮,20250617,华泰证券股份有限公司江阴福泰路证券营业部,603585.SH,苏利股份,0.0,16507069.0,-16507069.0,
150639,2025-06-18 10:23:02.543861,2025-06-18 10:23:02.543870,温州帮,20250617,华泰证券股份有限公司江阴福泰路证券营业部,300164.SZ,通源石油,3968351.0,25148362.0,-21180011.0,
150640,2025-06-18 10:23:02.543951,2025-06-18 10:23:02.543961,温州帮,20250617,平安证券股份有限公司福州长乐北路证券营业部,000525.SZ,红太阳,5123355.0,14807944.0,-9684589.0,
150641,2025-06-18 10:23:02.544042,2025-06-18 10:23:02.544052,温州帮,20250617,平安证券股份有限公司福州长乐北路证券营业部,002678.SZ,珠江钢琴,829143.0,21778654.0,-20949511.0,
150642,2025-06-18 10:23:02.544138,2025-06-18 10:23:02.544149,深股通专用,20250617,深股通专用,002017.SZ,东信和平,46218424.0,52843531.0,-6625107.0,
150643,2025-06-18 10:23:02.544231,2025-06-18 10:23:02.544241,深股通专用,20250617,深股通专用,002104.SZ,恒宝股份,220750376.0,213553455.0,7196921.0,
150644,2025-06-18 10:23:02.544323,2025-06-18 10:23:02.544333,深股通专用,20250617,深股通专用,002366.SZ,融发核电,81940908.0,123536562.0,-41595654.0,
150645,2025-06-18 10:23:02.544480,2025-06-18 10:23:02.544522,深股通专用,20250617,深股通专用,002294.SZ,信立泰,46441721.0,36586756.0,9854965.0,
150646,2025-06-18 10:23:02.544641,2025-06-18 10:23:02.544655,深股通专用,20250617,深股通专用,301665.SZ,泰禾股份,37194217.0,31331857.0,5862360.0,
150647,2025-06-18 10:23:02.544739,2025-06-18 10:23:02.544749,深股通专用,20250617,深股通专用,002678.SZ,珠江钢琴,9931357.0,10848297.0,-916940.0,
150648,2025-06-18 10:23:02.544833,2025-06-18 10:23:02.544843,深股通专用,20250617,深股通专用,002181.SZ,粤 传 媒,91935634.0,69798947.0,22136687.0,
150649,2025-06-18 10:23:02.544925,2025-06-18 10:23:02.544934,深股通专用,20250617,深股通专用,300457.SZ,赢合科技,48043665.0,19774570.0,28269095.0,
150650,2025-06-18 10:23:02.545015,2025-06-18 10:23:02.545025,深股通专用,20250617,深股通专用,300468.SZ,四方精创,576547958.0,531840660.0,44707298.0,
150651,2025-06-18 10:23:02.545108,2025-06-18 10:23:02.545120,深股通专用,20250617,深股通专用,300581.SZ,晨曦航空,328724727.0,306110592.0,22614135.0,
150652,2025-06-18 10:23:02.545201,2025-06-18 10:23:02.545211,深股通专用,20250617,深股通专用,300773.SZ,拉卡拉,404683485.0,278023534.0,126659951.0,
